PolicyCode,PolicyTitle,LastUpdated,SectionCode,SectionTitle,ContentCode,ContentDescription,Elaboration,Sequence,URLs
PEM-POL,Plant and Equipment Management Policy,2024-10-04,EX,Exemptions,PEM-POL-EX-01,Age restriction exemptions,"In limited circumstances, schools can apply for a department-approved exemption to the plant and machinery age restriction requirements which are detailed in this policy. This exemption may be requested to allow for middle years (years 9 and 10) students to be permitted to use items classiﬁed as restricted for the purposes of curriculum or educational program delivery where reasonable and necessary. To apply for this exemption or for more information contact the OHS Advisory Service on 1300 074 715 or at safety @education.vic.gov.au <mailto:safety@education.vic.gov.au>",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REV,Policy Review,PEM-POL-REV-01,Policy under review,"This policy is currently under review and will be undergoing a substantial restructure in 2025. Your thoughts and feedback are invaluable. To contribute to this review, please submit your feedback on this or any other OHS policies directly to the Employee Safety, Wellbeing and Inclusion Division via the OHSMS feedback form.",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,PUR,Purpose,PEM-POL-PUR-01,Policy purpose,The purpose of this policy is to ensure that risks associated with plant and equipment within schools are identiﬁed and managed.,1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-01,Legislative requirements,"The Occupational Health and Safety (OHS) Act (2004) (Vic) <https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004> and OHS Regulations 2017 (Vic) <https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017> require the department to provide or maintain, systems of work that are, so far as is reasonably practicable, safe and without risk to health, including risks related to plant and equipment — for example, machinery, appliances, or tools",1,https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004|https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-02,Principal responsibilities,"The principal and/or their delegate (as the local management representative) must lead a systematic approach to identify, assess and control hazards associated with plant and equipment in their workplace/s using the Hierarchy of Controls.",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-03,Employee responsibilities,"Under the OHS Act 2004, employees while at work must take reasonable care for their own health and safety and the safety of others who may be affected by their actions or omissions.",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-04,Support services available,"Central and regional ofﬁces provide a range of support and services to assist principals and employees to be safe and well, including access to the OHS Advisory Service and local regional ofﬁcers who can provide free advice to schools on managing risks related to plant and equipment.",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-05,Student use of restricted plant,Only senior secondary school students who have passed a Restricted PlantSafe Use Competency Test(DOCX) <https://content.sdp.education.vic.gov.au/media/restricted-plant-and-ma-chinery-safe-use-competency-test-1544> are permitted to use plant items classiﬁed as restricted.,1,https://content.sdp.education.vic.gov.au/media/restricted-plant-and-machinery-safe-use-competency-test-1544
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-06,Training and supervision requirements,"Staff and students operating any plant or equipment must be suitably trained and assessed as stated in this procedure, and students must be effectively supervised while using equipment.",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-07,Procedure compliance,"The Plant and Equipment Procedure <http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure> must be followed, and sets out the practical step-by-step instructions for implementing this policy.",1,http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure
PEM-POL,Plant and Equipment Management Policy,2024-10-04,SUM,Summary,PEM-POL-SUM-08,OHSMS integration,"This policy forms part of the department’s OHS Management System, see OHS Management System (OHSMS) Overview <http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy> for further information.",1,http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-00,Principal duties introduction,The principal and/or their delegate (in consultation with the Health and Safety Representative (HSR) or employee(s) affected by the relevant plant and equipment) must ensure that:,1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-01,Plant and equipment register requirement,"all plant and equipment are identiﬁed and recorded in the Plant and Equipment Register (XLSX) <https://content.sdp.education.vic.gov.au/media/plant-and-equipment-regis-ter-2787> or equivalent, and included in the column titled ‘Hazard’ in the OHS risk register (XLSX) <https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572> or equivalent, including the level of risk assessed",1,https://content.sdp.education.vic.gov.au/media/plant-and-equipment-register-2787|https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-02,Risk assessment requirement,a risk assessment is completed for each identified hazardous item of plant and equipment documented in the Plant and Equipment Risk Management Form (DOCX) or equivalent,1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-03,Control measures requirement,"control measures are identiﬁed to reduce the risks, that they are implemented and documented in the OHS risk register, and regularly reviewed for effectiveness",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-04,Safe Work Procedure requirement,"where the control measures include development of procedures for safe operation of plant and equipment, a Safe Work Procedure Template (DOCX) <https://content.sdp.education.vic.gov.au/media/safe-work-procedure-template-2621>  is completed and displayed adjacent to the item of plant or equipment.",1,https://content.sdp.education.vic.gov.au/media/safe-work-procedure-template-2621
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-05,Control measures maintenance introduction,"In deﬁning and keeping the control measures up to date, the principal and/or their delegate (in consultation with HSRs and relevant staff), and employees working with plant and equipment, must ensure:",1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-06,Staff competency requirements,"employees are competent to use high risk plant and equipment in their facilities by maintaining relevant qualiﬁcations and registrations, including maintaining records of any licences – see the Plant and Equipment Procedure <http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure>",1,http://www2.education.vic.gov.au/pal/plant-and-equipment-management/procedure
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-07,Training record requirements,employees are trained and training records are maintained – see the OHS Induction and Training Policy <http://www2.education.vic.gov.au/pal/ohs-in-duction-training-school-staff/policy>,1,http://www2.education.vic.gov.au/pal/ohs-induction-training-school-staff/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-08,Maintenance record requirements,"records of inspections and maintenance are maintained for each item of plant and equipment, and the OHS risk register (XLSX) <https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572> is kept up to date",1,https://content.sdp.education.vic.gov.au/media/ohs-risk-register-2572
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-09,Contractor management,contractors engaged to undertake maintenance are managed as per the Contractor OHS Management Policy <http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy>,1,http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-10,Purchasing requirements,"prior to the purchase or acquisition of new plant and equipment, the OHS Purchasing Checklist (DOCX) <https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-OHSPurchasing Checklist(DOCX) <https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-2772> is completed",1,https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-OHSPurchasing Checklist(DOCX) <https://content.sdp.education.vic.gov.au/media/ohs-purchasing-checklist-2772
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DET,Details,PEM-POL-DET-11,Unsafe equipment isolation,unsafe plant or equipment are isolated and tagged as per the Equipment Isolation and Tag Out Policy <http://www2.education.vic.gov.au/pal/equipment-isolation/policy>,1,http://www2.education.vic.gov.au/pal/equipment-isolation/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-01,Plant definition header,Plant,1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-01,Plant definition,"Under the OHS Act 2004, 'plant' includes:",2,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-01,Plant definition,"any machinery equipment, appliance, implement and tool",3,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-01,Plant definition,any component of any of those things,4,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-01,Plant definition,"anything ﬁtted, connected or related to any of those things.",5,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls header,Hierarchy of Controls,1,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,"There are a number of ways that risks associated with hazards can be reduced however, the effectiveness of each method may vary. The prioritising of approaches in managing the risks associated with a hazard is called the hierarchy of controls and indicates the decreasing level of effectiveness of various approaches. The hierarchy of controls are:",2,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,eliminating the hazard at the source,3,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,substituting the hazard with something else that poses a lesser risk,4,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,isolating the hazard with an engineering control,5,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,implementing administrative controls and changing the way work is done,6,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,providing Personal Protective Equipment (PPE).,7,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,DEF,Definitions,PEM-POL-DEF-02,Hierarchy of Controls,Often a number of different approaches are used in conjunction with each other to provide a more effective risk control.,8,
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REL,Related Policies,PEM-POL-REL-01,Related policy,Contractor OHS Management <http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy>,1,http://www2.education.vic.gov.au/pal/contractor-ohs-management/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REL,Related Policies,PEM-POL-REL-02,Related policy,Equipment Isolation and Tag Out <http://www2.education.vic.gov.au/pal/equipment-isolation/policy>,1,http://www2.education.vic.gov.au/pal/equipment-isolation/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REL,Related Policies,PEM-POL-REL-03,Related policy,"Occupational Health, Safety and Wellbeing Management in Schools <http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy>",1,http://www2.education.vic.gov.au/pal/occupational-health-safety-wellbeing-management/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REL,Related Policies,PEM-POL-REL-04,Related policy,OHS Consultation and Communication <http://www2.education.vic.gov.au/pal/ohs-consultation-communication/policy>,1,http://www2.education.vic.gov.au/pal/ohs-consultation-communication/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REL,Related Policies,PEM-POL-REL-05,Related policy,OHS Induction and Training <http://www2.education.vic.gov.au/pal/ohs-induc-tion-training-school-staff/policy>,1,http://www2.education.vic.gov.au/pal/ohs-induction-training-school-staff/policy
PEM-POL,Plant and Equipment Management Policy,2024-10-04,REL,Related Policies,PEM-POL-REL-06,Related policy,OHS Purchasing <http://www2.education.vic.gov.au/pal/occupational-health-and-safety-ohs-purchasing/policy>,1,http://www2.education.vic.gov.au/pal/occupational-health-and-safety-ohs-purchasing/policy
