EquipmentCode,DocumentCategory,DocumentSubCategory,Comments,TrueFalseIndicator,RiskAssessmentConsequence,RiskAssessmentLikelihood,RiskAssessmentLevel,RiskDescription,ControlMeasures,Sequence
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,,,,,,,,,1
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,Plant/Equipment Item:,Band Saw,,,,,,,2
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,Make/Model No.:,,,,,,,,3
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,Serial No.:,,,,,,,,4
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,School / Work Location:,,,,,,,,5
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,Region:,,,,,,,,6
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,Name of Person(s) Conducting Activity:,,,,,,,,7
PEM-EQ-CUT-001,Hazard Management Details – General - School Information,Date Conducted:,,,,,,,,8
PEM-EQ-CUT-001,Hazard Management Details – General - Description of Use,Description of Use:,,,,,,,,1
PEM-EQ-CUT-001,Hazard Management Details – General - Description of Use,Description of Use:,"A band saw uses a vertical blade consisting of a continuous band of metal with teeth along one edge. Work pieces are hand fed onto the cutting edge. The band rides on two wheels rotating in the same plane. The band saw produces uniform cutting action as a result of an evenly distributed tooth load. Band saws can be used for woodworking, metal working, or for cutting a variety of other materials, and are particularly useful for cutting irregular or curved shapes, but can also be used to produce straight cuts.",,,,,,,2
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,,,,,,,,1
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Entanglement,,,,,,,2
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Impact and cutting,,,,,,,3
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Electricity,,,,,,,4
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Noise,,,,,,,5
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Slips/trips/falls,,,,,,,6
PEM-EQ-CUT-001,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Other (dust),,,,,,,7
PEM-EQ-CUT-001,Documentation - Legislation Standards,Relevant Legislation/Standards,,,,,,,,1
PEM-EQ-CUT-001,Documentation - Legislation Standards,Is plant required to be registered?,,FALSE,,,,,,2
PEM-EQ-CUT-001,Documentation - Legislation Standards,Is a user license required?,,FALSE,,,,,,3
PEM-EQ-CUT-001,Documentation - Legislation Standards,Key Reference material,AS 1473 Guarding and safe use of woodworking machinery,,,,,,,4
PEM-EQ-CUT-001,Documentation - Legislation Standards,Key Reference material,AS 4024.1 Safety of machinery,,,,,,,5
PEM-EQ-CUT-001,Documentation - Legislation Standards,Key Reference material,AS/NZS 3760 In service safety inspection and testing of electrical equipment,,,,,,,6
PEM-EQ-CUT-001,Documentation - Plant,Plant Documentation,,,,,,,,1
PEM-EQ-CUT-001,Documentation - Plant,Are operator's manuals accessible?,,TRUE,,,,,,2
PEM-EQ-CUT-001,Documentation - Plant,Is this a restricted use item?,,TRUE,,,,,,3
PEM-EQ-CUT-001,Documentation - Plant,Does this item require safe use documents/test?,,TRUE,,,,,,4
PEM-EQ-CUT-001,Hazards Inspected - Shearing,Shearing,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Shearing,Shearing,Can anyone's body parts be sheared between two parts of plant or between a part of the plant and a work piece or structure?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Pressurised Content,Pressurised Content,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Pressurised Content,Pressurised Content,Can anyone come into contact with fluids or gases under high pressure due to plant failure or misuse of the plant?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Entanglement,Entanglement,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Entanglement,Entanglement,Can anyone's hair clothing gloves cleaning brushes tools rags or other materials become entangled with moving parts of the plant or materials?,TRUE,Major,Possible,High,"Long hair, loose clothing, rags, cleaning brushes and jewellery could become entangled in the moving parts of the band saw.","Ensure hair, loose clothing, rags etc. is kept clear of moving parts when in use. Aprons can be used to restrict loose clothing. Hair ties/hair nets can be used to secure long hair. Ensure jewellery and accessories (e.g. bracelets) are removed prior to operating the band saw. Maintain red emergency stop button in good working order and ensure it is checked regularly as part of the maintenance schedule.",2
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Can anyone be crushed/cut/struck etc. due to:,,,,,"The exposed moving saw blade presents a significant risk to an operator's hands and body parts. Injuries could be sustained as a result of the bandsaw being poorly maintained, damaged or incorrectly installed/setup.","Ensure operator's hands and body parts are kept clear of moving saw blade during operation and maintenance. If appropriate, consider the use of a push stick/guidance rail. Ensure that operator has been trained in safe work practices and appropriate PPE is worn (e.g. eye protection, hearing protection) whilst operating the equipment. Ensure the equipment is serviced and installed/set up as per the manufacturer's manual. Ensure appropriate guarding is installed and in good working order.",2
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Material falling off the plant?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Uncontrolled/unexpected movement of plant/load?,FALSE,,,,,,4
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Lack of capacity to slow stop or immobilise plant?,FALSE,,,,,,5
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,The plant tipping or rolling over?,FALSE,,,,,,6
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Parts of the plant disintegrating or collapsing?,TRUE,Major,Rare,Medium,,,7
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Contact with moving parts during testing inspection operation maintenance cleaning or repair?,TRUE,Major,Possible,High,,,8
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Being thrown off or under the plant?,FALSE,,,,,,9
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Contact with sharp or flying objects? (e.g. work pieces being ejected),TRUE,Moderate,Possible,Medium,,,10
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,The mobility of the plant?,FALSE,,,,,,11
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Inappropriate parts and accessories being used?,FALSE,,,,,,12
PEM-EQ-CUT-001,Hazards Inspected - Impact and Cutting,Impact and Cutting,Other,FALSE,,,,,,13
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Can anyone be injured or burnt due to:,,,,,Damaged or frayed electrical cords would pose an electrical hazard.,"Operator to check for damaged electrical cords prior to use. Ensure equipment is serviced on a regular basis, tested and tagged (if not hardwired) and appropriate isolation procedures (e.g. lock out tags) are in place.",2
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Live electrical conductors? (e.g. exposed wires),FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Working in close proximity to electrical conductors?,FALSE,,,,,,4
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Access to electricity?,FALSE,,,,,,5
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Damaged or poorly maintained electrical leads cables or switches?,TRUE,Major,Unlikely,Medium,,,6
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Water near electrical equipment?,FALSE,,,,,,7
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Lack of isolation procedures?,FALSE,,,,,,8
PEM-EQ-CUT-001,Hazards Inspected - Electricity,Electricity,Other,FALSE,,,,,,9
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Can anyone be injured due to:,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Poorly designed workstation?,FALSE,,,,,,3
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Repetitive body movement?,FALSE,,,,,,4
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Constrained body posture or the need for excessive effort?,FALSE,,,,,,5
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Design deficiency causing psychological stress?,FALSE,,,,,,6
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Inadequate or poorly placed lighting?,FALSE,,,,,,7
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Does the plant impact on the surrounding workplace and create potential hazards?,FALSE,,,,,,8
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Is the location of the plant inappropriate?,FALSE,,,,,,9
PEM-EQ-CUT-001,Hazards Inspected - Ergonomics,Ergonomics,Other,FALSE,,,,,,10
PEM-EQ-CUT-001,Hazards Inspected - Radiation,Radiation,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Radiation,Radiation,Can anyone using the plant or in the vicinity of the plant suffer injury or illness due to exposure to radiation?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Noise,Noise,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Noise,Noise,Can anyone using the plant or in the vicinity of the plant suffer injury due to exposure to noise?,TRUE,Minor,Possible,Medium,Operation of the plant equipment can result in high noise levels.,Appropriate hearing protection must be worn whilst operating the equipment.,2
PEM-EQ-CUT-001,Hazards Inspected - Vibration,Vibration,,,,,,,,1
PEM-EQ-CUT-001,Hazards Inspected - Vibration,Vibration,Can anyone be injured or suffer ill health from exposure to vibration?,FALSE,,,,,,2
PEM-EQ-CUT-001,Hazards Inspected - Friction,Friction,,,,,,,,1
